Rank,Pilotcode,Driver_Station,Driver_Avg_Distance_KM,Driver_Avg_Duration_Hours,VehicleCode,Vehicle_Station,Vehicle_Avg_Distance_KM,Assignment_Cost
1,1017,504,127.94,9.44,2023,504,127.94,112.22
2,1022,503,99.79,8.8,2016,503,99.79,90.98
3,1023,503,105.64,8.87,2026,503,105.64,95.25
4,1048,504,112.49,8.67,2044,504,112.49,99.55
5,1055,504,142.44,11.67,2055,504,142.44,127.71
6,1108,504,108.43,8.84,2110,504,108.43,97.11
7,1112,511,106.1,10.28,2297,511,106.1,98.95
8,1115,503,106.65,9.41,2054,503,106.65,97.25
9,1116,503,107.98,9.68,2112,503,107.98,98.82
10,1149,504,158.39,11.56,2355,504,158.39,138.61
11,1150,511,94.7,9.7,2287,511,94.7,89.57
12,1152,504,143.37,11.5,2349,504,143.37,127.97
13,1181,504,108.15,9.71,2319,504,108.15,99.01
14,1226,504,133.03,11.29,2329,504,133.03,120.21
15,1227,504,134.94,12.2,2316,504,134.94,123.73
16,1236,511,89.72,9.28,2343,511,89.72,85.08
17,1237,504,119.56,11.91,2307,504,119.56,112.28
18,1265,504,144.22,12.15,2328,504,144.22,130.11
19,1375,511,101.8,11.69,2295,511,101.8,99.32
20,1681,511,101.4,11.59,2342,511,101.4,98.79
21,1685,511,109.57,11.83,2293,511,109.57,105.08
