VehicleCode,Avg_Distance,Avg_Duration,Total_Distance,Shift_Count,StationCode,TripCount,Utilization_Distance,Category_distance,Utilization_Trips,Category_tripcount
2016,99.78571428571429,8.803055555555556,1397.0,14,503,388,0.33923411281901844,Low,0.46026097271648875,Low
2023,127.94347826086955,9.441702898550725,2942.7,23,504,503,0.7145771108035258,Moderate,0.5966785290628707,Moderate
2026,105.64230769230768,8.873450854700856,2746.7,26,503,697,0.6669823462276292,Moderate,0.8268090154211151,High
2044,112.48636363636363,8.66864898989899,2474.7,22,504,453,0.600932468856997,Moderate,0.5373665480427047,Moderate
2054,106.64642857142857,9.414603174603174,2986.1,28,503,843,0.7251159515310458,Moderate,1.0,High
2055,142.4375,11.666423611111112,3418.5,24,504,641,0.83011583011583,High,0.7603795966785291,Moderate
2110,108.43076923076923,8.838418803418802,1409.6,13,504,223,0.34229377625604035,Low,0.26453143534994067,Low
2112,107.984,9.681088888888889,2699.6,25,503,671,0.6555450329035234,Moderate,0.7959667852906287,Moderate
2287,94.7,9.701678743961352,2178.1,23,511,410,0.5289089628712269,Moderate,0.4863582443653618,Low
2293,109.568,11.825277777777778,2739.2,25,511,526,0.6651611179913066,Moderate,0.6239620403321471,Moderate
2295,101.8,11.690222222222221,2036.0,20,511,419,0.4944027585537019,Low,0.4970344009489917,Low
2297,106.10384615384615,10.28241452991453,2758.7,26,511,412,0.6698963114057452,Moderate,0.4887307236061684,Low
2307,119.56153846153846,11.910064102564103,3108.6,26,504,582,0.7548626793909812,Moderate,0.6903914590747331,Moderate
2316,134.94,12.195077777777778,3373.5,25,504,619,0.8191884606978946,High,0.734282325029656,Moderate
2319,108.15384615384616,9.71102564102564,2812.0,26,504,590,0.682839173405211,Moderate,0.6998813760379596,Moderate
2328,144.2153846153846,12.151250000000001,3749.6,26,504,769,0.910516985988684,High,0.9122182680901542,High
2329,133.03125,11.288315972222222,2128.5,16,504,319,0.516864573468347,Moderate,0.37841043890865955,Low
2342,101.40344827586206,11.587001915708813,2940.7,29,511,580,0.7140914499405064,Moderate,0.6880189798339265,Moderate
2343,89.71739130434783,9.283031400966184,2063.5,23,511,384,0.501080595420218,Moderate,0.4555160142348754,Low
2349,143.368,11.503222222222224,3584.2,25,504,648,0.8703528326169835,High,0.7686832740213523,Moderate
2355,158.38846153846154,11.556217948717947,4118.1,26,504,675,1.0,High,0.800711743772242,High
