Date,Pilotcode,VehicleCode,StationCode,StartTime,EndTime,Distance,Total,,,,,,collection
01-06-2024,1237,2307,504,6:41:00,16:43:07,136.4,1500,,,,,,
01-06-2024,1048,2044,504,8:56:53,17:31:20,130.9,1419,,,,,,
01-06-2024,1115,2054,503,8:26:38,17:31:24,94.2,1214,,,,,,
01-06-2024,1116,2112,503,8:43:50,17:43:59,135.2,1446,,,,,,
01-06-2024,1150,2287,511,8:55:53,18:59:15,97.8,1127,,,,,,
01-06-2024,1685,2293,511,8:13:45,19:32:19,125.7,1383,,,,,,
01-06-2024,1375,2295,511,7:58:07,19:23:15,114.5,1253,,,,,,
01-06-2024,1265,2328,504,7:58:31,20:09:56,167.7,1661,,,,,,
01-06-2024,1681,2342,511,8:54:47,20:45:30,133.6,1470,,,,,,
01-06-2024,1152,2349,504,7:57:28,18:10:22,144.9,1586,,,,,,
01-06-2024,1055,2055,504,10:36:43,18:54:09,105.6,1270,,,,,,
01-06-2024,1112,2297,511,9:03:58,19:05:22,109.7,1207,,,,,,
01-06-2024,1181,2319,504,9:35:08,19:35:49,117.3,1247,,,,,,
02-06-2024,1265,2328,504,7:10:37,19:36:10,145.8,1660,,,,,,
02-06-2024,1048,2044,504,7:57:09,16:15:55,98.5,1416,,,,,,
02-06-2024,1115,2054,503,8:42:55,16:42:49,103.5,1213,,,,,,
02-06-2024,1116,2112,503,8:54:49,17:36:32,106.2,1087,,,,,,
02-06-2024,1681,2342,511,8:05:47,17:03:07,80.5,885,,,,,,
02-06-2024,1152,2349,504,7:44:46,19:28:15,153.4,1635,,,,,,
02-06-2024,1149,2355,504,8:17:25,19:36:49,173.4,1765,,,,,,
02-06-2024,1023,2026,503,9:53:04,17:42:59,112.7,1238,,,,,,
02-06-2024,1055,2055,504,10:30:44,19:54:53,122.3,1344,,,,,,
02-06-2024,1150,2287,511,10:05:04,19:28:47,85.9,891,,,,,,
02-06-2024,1685,2293,511,10:23:10,19:55:36,100.8,1109,,,,,,
02-06-2024,1236,2343,511,10:05:40,19:41:10,117.9,1202,,,,,,
03-06-2024,1237,2307,504,6:25:00,17:18:20,118.5,1303,,,,,,
03-06-2024,1152,2349,504,7:00:06,20:45:22,185.7,2074,,,,,,
03-06-2024,1022,2016,503,8:23:49,17:29:11,95.9,1222,,,,,,
03-06-2024,1017,2023,504,8:09:18,17:21:20,142.2,1386,,,,,,
03-06-2024,1023,2026,503,8:32:33,19:18:52,113.7,1314,,,,,,
03-06-2024,1048,2044,504,7:38:39,16:45:24,133.9,1368,,,,,,
03-06-2024,1115,2054,503,7:50:27,17:42:09,107.2,1237,,,,,,
03-06-2024,1685,2293,511,8:02:50,19:35:48,149.6,1646,,,,,,
03-06-2024,1112,2297,511,7:42:58,19:26:57,100.4,1100,,,,,,
03-06-2024,1149,2355,504,7:47:55,20:16:42,160.4,1605,,,,,,
03-06-2024,1055,2055,504,9:58:21,19:40:59,130.2,1431,,,,,,
03-06-2024,1265,2328,504,9:16:37,21:45:00,143.8,1331,,,,,,
03-06-2024,1681,2342,511,11:36:37,20:15:24,96.5,1056,,,,,,
03-06-2024,1150,2287,511,14:06:54,20:33:08,70.1,717,,,,,,
04-06-2024,1237,2307,504,6:23:47,19:59:42,121.9,1341,,,,,,
04-06-2024,1149,2355,504,7:20:47,19:50:20,188.4,1984,,,,,,
04-06-2024,1017,2023,504,8:11:55,16:56:13,144.1,1411,,,,,,
04-06-2024,1023,2026,503,8:04:28,17:36:55,122.2,1364,,,,,,
04-06-2024,1048,2044,504,8:08:57,18:09:41,134.6,1505,,,,,,
04-06-2024,1115,2054,503,8:16:44,17:25:36,123.3,1264,,,,,,
04-06-2024,1116,2112,503,8:34:13,18:44:36,115.7,1253,,,,,,
04-06-2024,1375,2295,511,8:17:34,19:46:39,94.8,778,,,,,,
04-06-2024,1112,2297,511,8:44:50,19:52:05,91.3,1004,,,,,,
04-06-2024,1265,2328,504,8:11:48,22:03:30,153.6,1625,,,,,,
04-06-2024,1681,2342,511,7:42:46,20:17:53,122.4,1346,,,,,,
04-06-2024,1055,2055,504,9:31:22,21:58:46,146.8,1777,,,,,,
04-06-2024,1150,2287,511,9:36:19,19:03:16,86.1,887,,,,,,
04-06-2024,1685,2293,511,10:11:28,20:13:05,74.8,823,,,,,,
04-06-2024,1227,2316,504,9:31:41,21:29:27,148.3,1447,,,,,,
04-06-2024,1181,2319,504,10:05:39,20:06:44,127.4,1205,,,,,,
04-06-2024,1236,2343,511,9:05:53,19:00:31,94.9,958,,,,,,
05-06-2024,1152,2349,504,7:11:31,17:56:53,156.3,1524,,,,,,
05-06-2024,1017,2023,504,7:57:22,17:27:44,136.6,1404,,,,,,
05-06-2024,1023,2026,503,7:59:32,18:01:38,103.9,1229,,,,,,
05-06-2024,1048,2044,504,7:39:09,16:42:59,122.7,1413,,,,,,
