Driver,AssignedVehicle,SameStation,CellCost
1017,2316,True,0.4766
1022,2054,True,0.2136
1023,2026,True,0.2253
1048,2349,True,0.3505
1055,2319,True,0.6343
1108,2328,True,0.3552
1112,2343,True,0.2499
1115,2112,True,0.2637
1116,2016,True,0.1383
1149,2110,True,0.457
1150,2297,True,0.2256
1152,2044,True,0.5726
1181,2355,True,0.4581
1226,2307,True,0.5998
1227,2023,True,0.6502
1236,2342,True,0.1854
1237,2055,True,0.6049
1265,2329,True,0.5658
1375,2287,True,0.3426
1681,2293,True,0.3937
1685,2295,True,0.3717
